"","Player","Type_of_goal","Home","Away","Time_of_Evidence","Team","Goal_Time","Penalnty","owngoal"
"118","ΤΣΙΑΡΟΣ ΑΧΙΛΛΕΑΣ","","1","0","4'","ΓΚΥΖΙΑΚΟΣ",4,0,0
"218","ΤΣΙΩΛΗΣ ΑΠΟΣΤΟΛΟΣ","","2","0","6'","ΓΚΥΖΙΑΚΟΣ",6,0,0
"316","ΜΠΟΥΣΙΟΣ ΣΩΤΗΡΙΟΣ","","3","0","8'","ΓΚΥΖΙΑΚΟΣ",8,0,0
"411","ΚΑΒΒΑΔΙΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ","","4","0","28'","ΓΚΥΖΙΑΚΟΣ",28,0,0
"58","ΜΠΟΥΣΙΟΣ ΣΩΤΗΡΙΟΣ","","5","0","29'","ΓΚΥΖΙΑΚΟΣ",29,0,0
"62","ΚΟΝΤΙΔΗΣ ΛΑΜΠΡΟΣ","","6","0","34'","ΓΚΥΖΙΑΚΟΣ",34,0,0
"71","ΜΠΟΥΣΙΟΣ ΣΩΤΗΡΙΟΣ","","7","0","51'","ΓΚΥΖΙΑΚΟΣ",51,0,0
"81","ΤΣΙΩΛΗΣ ΑΠΟΣΤΟΛΟΣ","","8","0","55'","ΓΚΥΖΙΑΚΟΣ",55,0,0
"9","ΛΑΖΑΡΙΔΗΣ ΚΥΡΙΑΚΟΣ","","9","0","68'","ΓΚΥΖΙΑΚΟΣ",68,0,0
"91","None",NA,"0","0","0","None",0,0,0
"119","ΜΠΑΪΡΑΚΤΑΡΗΣ ΒΑΣΙΛΕΙΟΣ","","0","1","5'","ΙΑΣΩΝ",5,0,0
"219","ΚΩΣΤΑΣ ΞΥΛΑΣ ΙΩΑΝΝΗΣ","","1","1","6'","ΛΑΡΙΣΑΪΚΟΣ",6,0,0
"317","ΑΝΤΑΛΗΣ ΧΑΡΑΛΑΜΠΟΣ","","1","2","18'","ΙΑΣΩΝ",18,0,0
"412","ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ","","1","3","26'","ΙΑΣΩΝ",26,0,0
"59","ΑΝΤΑΛΗΣ ΧΑΡΑΛΑΜΠΟΣ","","1","4","56'","ΙΑΣΩΝ",56,0,0
"63","ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ","","1","5","60'","ΙΑΣΩΝ",60,0,0
"72","ΔΡΟΣΟΣ ΜΑΡΙΟΣ","","1","6","78'","ΙΑΣΩΝ",78,0,0
"82","ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ","","1","7","82'","ΙΑΣΩΝ",82,0,0
"318","None",NA,"0","0","0","None",0,0,0
"120","ΠΛΑΚΑΣ ΠΑΥΛΟΣ ΕΦΡΑΙΜ","","1","0","13'","ΠΑΝΘΗΣΕΙΑΚΟΣ",13,0,0
"220","ΘΕΟΧΑΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ","(πέναλτυ)","2","0","51'","ΠΑΝΘΗΣΕΙΑΚΟΣ",51,1,0
"413","None",NA,"0","0","0","None",0,0,0
"121","ΒΑΛΜΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ","","0","1","36'","ΚΟΥΚΑΚΙ",36,0,0
"221","ΜΠΕΛΑΣ ΓΕΩΡΓΙΟΣ","","0","2","63'","ΚΟΥΚΑΚΙ",63,0,0
"319","ΒΑΛΜΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ","","0","3","77'","ΚΟΥΚΑΚΙ",77,0,0
"122","None",NA,"0","0","0","None",0,0,0
"510","None",NA,"0","0","0","None",0,0,0
