"","Player","Type_of_goal","Home","Away","Time_of_Evidence","Team","Goal_Time","Penalnty","owngoal"
"133","ΠΑΝΤΖΙ ΣΕΝΤΙΛΙΑΝΟ","","0","1","23'","ΓΚΥΖΙΑΚΟΣ",23,0,0
"330","None",NA,"0","0","0","None",0,0,0
"134","ΨΑΡΟΥΔΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ","","1","0","36'","ΠΛΑΤΩΝ",36,0,0
"233","ΛΑΜΠΟΣ ΓΕΩΡΓΙΟΣ","","2","0","88'","ΠΛΑΤΩΝ",88,0,0
"234","None",NA,"0","0","0","None",0,0,0
"135","ΔΗΜΟΣ ΠΑΝΑΓΙΩΤΗΣ","","1","0","59'","ΝΙΚΗ ΑΛΙΜΟΥ",59,0,0
"331","None",NA,"0","0","0","None",0,0,0
"136","ΑΝΤΑΛΗΣ ΧΑΡΑΛΑΜΠΟΣ","(πέναλτυ)","1","0","47'","ΙΑΣΩΝ",47,1,0
"235","ΑΠΟΣΤΟΛΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ","","2","0","79'","ΙΑΣΩΝ",79,0,0
"514","None",NA,"0","0","0","None",0,0,0
"137","ΠΑΠΠΑΣ ΜΙΧΑΗΛ ΑΓΓΕΛΟΣ","","0","1","20'","ΠΑΓΚΡΑΤΙ",20,0,0
"236","ΠΑΠΠΑΣ ΜΙΧΑΗΛ ΑΓΓΕΛΟΣ","","0","2","31'","ΠΑΓΚΡΑΤΙ",31,0,0
"332","ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΑΓΓΕΛΟΣ","(πέναλτυ)","0","3","62'","ΠΑΓΚΡΑΤΙ",62,1,0
"420","ΚΟΥΡΟΥΠΑΚΗΣ ΛΑΜΠΡΟΣ","","0","4","65'","ΠΑΓΚΡΑΤΙ",65,0,0
"421","None",NA,"0","0","0","None",0,0,0
"138","ΛΑΖΑΡΙΔΗΣ ΚΥΡΙΑΚΟΣ","","1","0","10'","ΓΚΥΖΙΑΚΟΣ",10,0,0
"237","ΚΟΛΟΒΟΣ ΝΙΚΟΛΑΟΣ","","2","0","42'","ΓΚΥΖΙΑΚΟΣ",42,0,0
"333","ΚΑΒΒΑΔΙΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ","","3","0","75'","ΓΚΥΖΙΑΚΟΣ",75,0,0
"84","None",NA,"0","0","0","None",0,0,0
"139","ΓΚΙΡΛΕΜΗΣ ΑΓΑΘΑΓΓΕΛΟΣ","","0","1","3'","ΠΑΝΘΗΣΕΙΑΚΟΣ",3,0,0
"238","ΘΕΟΧΑΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ","","0","2","8'","ΠΑΝΘΗΣΕΙΑΚΟΣ",8,0,0
"334","ΘΕΟΧΑΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ","","0","3","12'","ΠΑΝΘΗΣΕΙΑΚΟΣ",12,0,0
"422","ΘΕΟΧΑΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ","","0","4","16'","ΠΑΝΘΗΣΕΙΑΚΟΣ",16,0,0
"515","ΠΛΑΚΑΣ ΠΑΥΛΟΣ ΕΦΡΑΙΜ","","0","5","61'","ΠΑΝΘΗΣΕΙΑΚΟΣ",61,0,0
"67","ΠΛΑΚΑΣ ΠΑΥΛΟΣ ΕΦΡΑΙΜ","","0","6","71'","ΠΑΝΘΗΣΕΙΑΚΟΣ",71,0,0
"75","ΠΛΑΚΑΣ ΠΑΥΛΟΣ ΕΦΡΑΙΜ","(πέναλτυ)","0","7","81'","ΠΑΝΘΗΣΕΙΑΚΟΣ",81,1,0
"423","None",NA,"0","0","0","None",0,0,0
"140","ΚΩΣΤΑΚΟΣ ΑΘΑΝΑΣΙΟΣ","","1","0","12'","ΚΟΥΚΑΚΙ",12,0,0
"239","ΚΩΣΤΑΚΟΣ ΑΘΑΝΑΣΙΟΣ","","2","0","15'","ΚΟΥΚΑΚΙ",15,0,0
"335","ΜΠΕΛΑΣ ΓΕΩΡΓΙΟΣ","","3","0","59'","ΚΟΥΚΑΚΙ",59,0,0
"68","None",NA,"0","0","0","None",0,0,0
"336","ΚΕΡΑΣΙΩΤΗΣ ΠΕΤΡΟΣ","","0","1","12'","ΙΑΣΩΝ",12,0,0
"424","ΞΕΝΟΠΟΥΛΟΣ ΠΑΥΛΟΣ","","1","1","36'","ΠΑΓΚΡΑΤΙ",36,0,0
"141","ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΑΓΓΕΛΟΣ","","2","1","45'","ΠΑΓΚΡΑΤΙ",45,0,0
"240","ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΑΓΓΕΛΟΣ","","3","1","73'","ΠΑΓΚΡΑΤΙ",73,0,0
"516","ΜΠΑΪΡΑΚΤΑΡΗΣ ΒΑΣΙΛΕΙΟΣ","","3","2","77'","ΙΑΣΩΝ",77,0,0
"337","None",NA,"0","0","0","None",0,0,0
"142","ΚΟΡΦΙΑΤΗΣ ΑΛΕΞΑΝΔΡΟΣ","","1","0","44'","ΠΛΑΤΩΝ",44,0,0
"241","ΣΟΥΒΑΤΖΗΣ ΙΩΑΚΕΙΜ","","1","1","52'","ΠΟΣΕΙΔΩΝΑΣ ΓΛΥΦΑΔΑΣ",52,0,0
"425","None",NA,"0","0","0","None",0,0,0
"143","ΘΕΟΧΑΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ","(πέναλτυ)","1","0","15'","ΠΑΝΘΗΣΕΙΑΚΟΣ",15,1,0
"242","ΚΟΛΟΒΟΣ ΝΙΚΟΛΑΟΣ","","1","1","37'","ΓΚΥΖΙΑΚΟΣ",37,0,0
"338","ΚΟΝΤΙΔΗΣ ΛΑΜΠΡΟΣ","(πέναλτυ)","1","2","83'","ΓΚΥΖΙΑΚΟΣ",83,1,0
"339","None",NA,"0","0","0","None",0,0,0
"144","ΚΟΓΙΑΣ ΛΕΟΝΑΡΔΟΣ","(πέναλτυ)","1","0","3'","ΑΟ ΓΛΥΦΑΔΑΣ",3,1,0
"243","ΚΩΣΤΑΣ ΞΥΛΑΣ ΙΩΑΝΝΗΣ","","1","1","72'","ΛΑΡΙΣΑΪΚΟΣ",72,0,0
"426","None",NA,"0","0","0","None",0,0,0
